,text
0,ganapati scribe bhaga van vyasa celebrated compiler vedas son great sage parasara gave world divine epic mahabharata conceived mahabharata thought means giving sacred story world meditated brahma creator manifested hims elf vyasa saluted bowed head folded 
1,hands prayed “ lord conceived excellent work think one take dictation ” brahma extolled vyasa said “ sage invoke ganapati beg amanuensis ” said words disappeared sage vyasa meditated ganapati appeared vyasa received due respect sought aid “ lord ganapati s
2,hall dictate story mahabharata pray graciously pleased write ” ganapati replied “ well shall wish pen must stop writing must dictate without pause hesitation write condition ” vyasa agreed guarding however counter stipulation “ must first grasp meaning dic
3,tate write ” ganapati smiled agreed condition sage began sing story mahabharata would occasionally compose complex stanzas would make ganapati pause get meaning vyasa would avail interval compose many stanzas mind thus mahabharata came written ganapati dic
4,tation v yasa days printin g memory learned sole repository books vyasa first taught great epic son thesage suka later expounded many disciples book might lost future generations tradition narada told story mahabharata devas suka taught gand harvas rakshas
5,as yakshas well known virtuous learned vaisampayana one chief disciples vyasa revealed epic benefit humanity janamejaya son great king parikshit conducted great sacrifice course vaisampa yana narrated story request former afterwards story told v aisampayan
6,a recited suta forest naimisa assembly sages lead rishi saunaka suta addressed assembly “ good fortune hear story mahabharat composed vyasa teach humanity dharma ends life like narrate words ascetics eagerly gathered round suta continued “ heard main story
7, mahabharata episodic tales contained thereiry told vaisampayana sacrifice conducted king janamejaya afterwards made extensive pilgrimage various sacred places also visited battlefield great battle described epic fought come meet ” proceeded tell whole sto
8,ry mahabharata grand assembly death great king santanu chitrangada became king hastinapura succeeded vichitravirya latter two sons dhritarashtra pandu elder two born blind pandu younger brother ascende throne course reign pandu committed certain offence re
9,sort forest two wives spent many years penance stay forest two wives pandu kunti madri gave birth five sons became well known five pandavas pandu passed away still living forest sages brought five pandavas early years yudhishthira eldest attained age sixte
10,en rishis led back hastinapura entrusted old grandsirebhishma short time pandavas gained mastery vedas vedanta well various arts especially pertaining kshatriyas kauravas sons blind dhritarashtra became jealous pandavas tried injure various ways finally bh
11,ishma head family intervened bring mutual understanding peace betwee n accordingly pandavas kauravas began rule separately respective capitals indraprastha hastinapura time later game dice kaura vas pandavas accord ing prevailing kshatriya code honour saku
12,ni played behalf kauravas defeated yudhishthira result pandavas exile period thirteen years left kingdom went forest devoted wife draupadi according conditions game pandavas spent twelve years forest thirteenth year incognito returned demanded duryodhana p
13,aternal heritage latter meanwhile usurped kingdom refused return war followed consequence pandavas defeated duryodhana regained patrimony pandavas ruled kingdom thirty six years afterwards transferred crown grandson parikshit repaired forest draupadi clad 
14,humbly barks trees substance story mahabharata ancient wonderful epic land many illustrative tales sublime teachings besid es narrative fortunes pandavas mahabharata fact verita ble ocean containing countless pearls gems ramayana living fountain ethics cul
15,ture motherland chapter devavrata “ must certainly become wife whoever may ” thus said great king santanu goddess ganga stood human form intoxicating senses superhuman loveliness king earnestly offered love kingdom wealth life ganga replied “ king shall be
16,come wife certain conditions neither anyone else ever ask whence come must also stand way whatever good bad must ever wroth account whatsoever must say anything displeasing act otherwise shall leave agree ” infatuated king vowed assent became wife lived he
17,art king captivated modesty grace steady love bore king santanu ganga lived life perfect happiness oblivious passage time gave birth many children new born baby took ganges cast river returned king smiling face santanu filled horror anguish fiendish conduc
18,t suffered silence mindful promise made often wondered wherefrom come acted like murderous witch still bound word mastering love uttered word blame remonstrance thus killed seven children eighth child born throw ganges santanu could bear longer cried “ sto
19,p stop bent horrid unnat ural murder innocent babes ” w ith outburst king restrained “ great king ” replied “ forgotten promise heart set child need go shall kill child listen story judge constrained play hatefu l role curse vasishtha goddess ganga adored 
20,gods men vasishtha cursed eight vasus born world men moved supplications said moth er bore well go higher regions service done eight vasus shall bring last child time return gift ” saying words goddess disappeared child child later became famous bhishma va
21,sus came incur vasishtha ’ curse went holiday wives mountain tract stood hermitage vasishtha one saw vasishtha ’ cow nandini grazin g divinely beautiful form attracted pointed ladies loud praise graceful animal one requested husband secure replied “ wh nee
22,d devas milk cows cow belongs sage vasishtha master whole place man certainly become immortal drinking milk gain us already immortal worth incurring vasishtha ’ wrath merely satisfy whim ” thus put “ dear companion mortal world sake make request vasishtha 
